"id","id_sensor","key","date","value"
355,2378,"PM2.5",2022-12-08 16:00:00,31
355,2378,"PM2.5",2022-12-08 15:00:00,27
355,2378,"PM2.5",2022-12-08 14:00:00,18
355,2378,"PM2.5",2022-12-08 13:00:00,19
355,2378,"PM2.5",2022-12-08 12:00:00,20
355,2378,"PM2.5",2022-12-08 11:00:00,17
355,2378,"PM2.5",2022-12-08 10:00:00,20
355,2378,"PM2.5",2022-12-08 09:00:00,20
355,2378,"PM2.5",2022-12-08 08:00:00,18
355,2378,"PM2.5",2022-12-08 07:00:00,26
355,2378,"PM2.5",2022-12-08 06:00:00,17
355,2378,"PM2.5",2022-12-08 05:00:00,2
355,2378,"PM2.5",2022-12-08 04:00:00,5
355,2378,"PM2.5",2022-12-08 03:00:00,9
355,2378,"PM2.5",2022-12-08 02:00:00,6
355,2378,"PM2.5",2022-12-08 00:00:00,3
355,2378,"PM2.5",2022-12-07 23:00:00,5
355,2382,"SO2",2022-12-10 20:00:00,0.5
355,2382,"SO2",2022-12-10 19:00:00,0.8
355,2382,"SO2",2022-12-10 18:00:00,0.8
355,2382,"SO2",2022-12-10 17:00:00,1.5
355,2382,"SO2",2022-12-10 16:00:00,1.5
355,2382,"SO2",2022-12-10 15:00:00,1.8
355,2382,"SO2",2022-12-10 14:00:00,1.9
355,2382,"SO2",2022-12-10 13:00:00,2.3
355,2382,"SO2",2022-12-10 12:00:00,2.7
355,2382,"SO2",2022-12-10 11:00:00,2.5
355,2382,"SO2",2022-12-10 10:00:00,2.9
355,2382,"SO2",2022-12-10 09:00:00,3.9
355,2382,"SO2",2022-12-10 08:00:00,4.4
355,2382,"SO2",2022-12-10 07:00:00,3.9
355,2382,"SO2",2022-12-10 06:00:00,3.1
355,2382,"SO2",2022-12-10 05:00:00,2.8
355,2382,"SO2",2022-12-10 04:00:00,2.4
355,2382,"SO2",2022-12-10 03:00:00,2.3
355,2382,"SO2",2022-12-10 02:00:00,2.2
355,2382,"SO2",2022-12-10 01:00:00,2.9
355,2382,"SO2",2022-12-10 00:00:00,3.4
355,2382,"SO2",2022-12-09 23:00:00,4.5
355,2382,"SO2",2022-12-09 22:00:00,4.5
355,2382,"SO2",2022-12-09 21:00:00,4.7
355,2382,"SO2",2022-12-09 20:00:00,5.5
355,2382,"SO2",2022-12-09 19:00:00,6.2
355,2382,"SO2",2022-12-09 18:00:00,6.6
355,2382,"SO2",2022-12-09 17:00:00,5
355,2382,"SO2",2022-12-09 16:00:00,6.1
355,2382,"SO2",2022-12-09 15:00:00,6.1
355,2382,"SO2",2022-12-09 14:00:00,6
355,2382,"SO2",2022-12-09 13:00:00,6.8
355,2382,"SO2",2022-12-09 12:00:00,35.4
355,2382,"SO2",2022-12-09 11:00:00,30.2
355,2382,"SO2",2022-12-09 10:00:00,14.4
355,2382,"SO2",2022-12-09 09:00:00,19
355,2382,"SO2",2022-12-09 08:00:00,19
355,2382,"SO2",2022-12-09 07:00:00,15
355,2382,"SO2",2022-12-09 06:00:00,14.9
355,2382,"SO2",2022-12-09 05:00:00,7.3
355,2382,"SO2",2022-12-09 04:00:00,5.6
355,2382,"SO2",2022-12-09 03:00:00,5.7
355,2382,"SO2",2022-12-09 02:00:00,5.1
355,2382,"SO2",2022-12-09 01:00:00,5.8
355,2382,"SO2",2022-12-09 00:00:00,6.1
355,2382,"SO2",2022-12-08 23:00:00,6.4
355,2382,"SO2",2022-12-08 22:00:00,8.6
355,2382,"SO2",2022-12-08 21:00:00,7.4
355,2382,"SO2",2022-12-08 20:00:00,8.5
355,2382,"SO2",2022-12-08 19:00:00,8.6
355,2382,"SO2",2022-12-08 18:00:00,8.1
