"key","date","value","id","id_sensor"
"PM2.5",2022-11-12 06:00:00,12.7315,659,25910
"PM2.5",2022-11-12 05:00:00,14.5794,659,25910
"PM2.5",2022-11-12 04:00:00,15.8525,659,25910
"PM2.5",2022-11-12 03:00:00,17.0427,659,25910
"PM2.5",2022-11-12 02:00:00,17.5559,659,25910
"PM2.5",2022-11-12 01:00:00,17.8827,659,25910
"PM2.5",2022-11-12 00:00:00,19.5971,659,25910
"PM2.5",2022-11-11 23:00:00,19.8038,659,25910
"PM2.5",2022-11-11 22:00:00,20.5709,659,25910
"PM2.5",2022-11-11 21:00:00,19.2318,659,25910
"PM2.5",2022-11-11 20:00:00,17.233,659,25910
"PM2.5",2022-11-11 19:00:00,16.3764,659,25910
"PM2.5",2022-11-11 18:00:00,16.8311,659,25910
"PM2.5",2022-11-11 17:00:00,16.6611,659,25910
"PM2.5",2022-11-11 16:00:00,20.5181,659,25910
"PM2.5",2022-11-11 15:00:00,16.7129,659,25910
"PM2.5",2022-11-11 14:00:00,14.6498,659,25910
"PM2.5",2022-11-11 13:00:00,12.0392,659,25910
"PM2.5",2022-11-11 12:00:00,11.885,659,25910
"PM2.5",2022-11-11 11:00:00,12.7048,659,25910
"PM2.5",2022-11-11 10:00:00,15.5742,659,25910
"PM2.5",2022-11-11 09:00:00,21.5799,659,25910
"PM2.5",2022-11-11 08:00:00,26.2552,659,25910
"PM2.5",2022-11-11 07:00:00,26.8258,659,25910
"PM2.5",2022-11-11 06:00:00,26.1794,659,25910
"PM2.5",2022-11-11 05:00:00,25.1592,659,25910
"PM2.5",2022-11-11 04:00:00,23.2085,659,25910
"PM2.5",2022-11-11 03:00:00,20.3899,659,25910
"PM2.5",2022-11-11 02:00:00,18.5372,659,25910
"PM2.5",2022-11-11 01:00:00,16.3316,659,25910
"PM2.5",2022-11-11 00:00:00,19.9151,659,25910
"PM2.5",2022-11-10 23:00:00,22.8318,659,25910
"CO",2022-11-13 07:00:00,700.52,459,3188
"CO",2022-11-13 06:00:00,749.98,459,3188
"CO",2022-11-13 05:00:00,594.62,459,3188
