DatetimeBegin UTC+01;date_beg_UTC_00;Concentration;AirQualityStationEoICode;AirPollutant;AveragingTime;;;DatetimeEnd
11.01.2022 16:00;11.01.2022 15:00;73.61;PL0012A;PM10;hour;;;2022-01-11 17:00:00 +01:00
11.01.2022 17:00;11.01.2022 16:00;66.32;PL0012A;PM10;hour;;;2022-01-11 18:00:00 +01:00
11.01.2022 18:00;11.01.2022 17:00;82.65;PL0012A;PM10;hour;;;2022-01-11 19:00:00 +01:00
11.01.2022 19:00;11.01.2022 18:00;66.26;PL0012A;PM10;hour;;;2022-01-11 20:00:00 +01:00
11.01.2022 20:00;11.01.2022 19:00;52.73;PL0012A;PM10;hour;;;2022-01-11 21:00:00 +01:00
11.01.2022 21:00;11.01.2022 20:00;47.59;PL0012A;PM10;hour;;;2022-01-11 22:00:00 +01:00
11.01.2022 22:00;11.01.2022 21:00;41.02;PL0012A;PM10;hour;;;2022-01-11 23:00:00 +01:00
11.01.2022 23:00;11.01.2022 22:00;37.61;PL0012A;PM10;hour;;;2022-01-12 00:00:00 +01:00
12.01.2022 00:00;11.01.2022 23:00;31.19;PL0012A;PM10;hour;;;2022-01-12 01:00:00 +01:00
12.01.2022 01:00;12.01.2022 00:00;31.69;PL0012A;PM10;hour;;;2022-01-12 02:00:00 +01:00
12.01.2022 02:00;12.01.2022 01:00;39.94;PL0012A;PM10;hour;;;2022-01-12 03:00:00 +01:00
12.01.2022 03:00;12.01.2022 02:00;31.03;PL0012A;PM10;hour;;;2022-01-12 04:00:00 +01:00
12.01.2022 04:00;12.01.2022 03:00;31.51;PL0012A;PM10;hour;;;2022-01-12 05:00:00 +01:00
12.01.2022 05:00;12.01.2022 04:00;34.53;PL0012A;PM10;hour;;;2022-01-12 06:00:00 +01:00
12.01.2022 06:00;12.01.2022 05:00;42.42;PL0012A;PM10;hour;;;2022-01-12 07:00:00 +01:00
12.01.2022 07:00;12.01.2022 06:00;43.66;PL0012A;PM10;hour;;;2022-01-12 08:00:00 +01:00
12.01.2022 08:00;12.01.2022 07:00;48.22;PL0012A;PM10;hour;;;2022-01-12 09:00:00 +01:00
12.01.2022 09:00;12.01.2022 08:00;54.15;PL0012A;PM10;hour;;;2022-01-12 10:00:00 +01:00
12.01.2022 10:00;12.01.2022 09:00;58.56;PL0012A;PM10;hour;;;2022-01-12 11:00:00 +01:00
12.01.2022 11:00;12.01.2022 10:00;57.28;PL0012A;PM10;hour;;;2022-01-12 12:00:00 +01:00
12.01.2022 12:00;12.01.2022 11:00;54.32;PL0012A;PM10;hour;;;2022-01-12 13:00:00 +01:00
12.01.2022 13:00;12.01.2022 12:00;63.40;PL0012A;PM10;hour;;;2022-01-12 14:00:00 +01:00
12.01.2022 14:00;12.01.2022 13:00;67.83;PL0012A;PM10;hour;;;2022-01-12 15:00:00 +01:00
12.01.2022 15:00;12.01.2022 14:00;62.83;PL0012A;PM10;hour;;;2022-01-12 16:00:00 +01:00
12.01.2022 16:00;12.01.2022 15:00;65.50;PL0012A;PM10;hour;;;2022-01-12 17:00:00 +01:00
12.01.2022 17:00;12.01.2022 16:00;66.23;PL0012A;PM10;hour;;;2022-01-12 18:00:00 +01:00
12.01.2022 18:00;12.01.2022 17:00;81.27;PL0012A;PM10;hour;;;2022-01-12 19:00:00 +01:00
12.01.2022 19:00;12.01.2022 18:00;92.63;PL0012A;PM10;hour;;;2022-01-12 20:00:00 +01:00
12.01.2022 20:00;12.01.2022 19:00;99.26;PL0012A;PM10;hour;;;2022-01-12 21:00:00 +01:00
12.01.2022 21:00;12.01.2022 20:00;100.67;PL0012A;PM10;hour;;;2022-01-12 22:00:00 +01:00
12.01.2022 22:00;12.01.2022 21:00;85.74;PL0012A;PM10;hour;;;2022-01-12 23:00:00 +01:00
12.01.2022 23:00;12.01.2022 22:00;82.83;PL0012A;PM10;hour;;;2022-01-13 00:00:00 +01:00
13.01.2022 00:00;12.01.2022 23:00;73.26;PL0012A;PM10;hour;;;2022-01-13 01:00:00 +01:00
13.01.2022 01:00;13.01.2022 00:00;85.15;PL0012A;PM10;hour;;;2022-01-13 02:00:00 +01:00
13.01.2022 02:00;13.01.2022 01:00;79.24;PL0012A;PM10;hour;;;2022-01-13 03:00:00 +01:00
13.01.2022 03:00;13.01.2022 02:00;55.19;PL0012A;PM10;hour;;;2022-01-13 04:00:00 +01:00
13.01.2022 04:00;13.01.2022 03:00;47.44;PL0012A;PM10;hour;;;2022-01-13 05:00:00 +01:00
